Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Microsoft Azure Fundamentals (AZ-900) Cert Prep: 1 Cloud Concepts,"The Microsoft Azure Fundamentals certification exam is for anyone looking to begin their professional journey in cloud computing. To pass the AZ-900 exam, you need a high-level knowledge of the cloud, Azure architecture, core security, its basic services, management tools, and governance. This first course in the AZ-900 cert prep series covers the Cloud Concepts part of the exam objectives. Your instructor Kunal D Mehta provides a comprehensive guide toward understanding cloud computing, including the three “as-a-service” models, types of cloud configurations, and the potential benefits that organizations can get by leveraging cloud computing.",Course,2023-06-13 07:54 UTC,N/A,false,N/A,
Cloud Management with Microsoft Intune,"<p>Microsoft Endpoint Manager offers a unified management system that combines functions of Microsoft Intune and Configuration Manager to allow admins to secure, deploy, and manage users, apps, and devices. In this course, experienced networking consultant Robert McMillen explains how Endpoint Manager can be used to manage endpoint security, device management, and cloud actions. Robert begins with an overview of Endpoint products and how to identify which products are best for specific environments. Next, he explains how to prepare for, install, and use Configuration Manager. Robert goes over using Intune for managing mobile devices and links between an on-premises PC to Microsoft Entra ID (formerly Azure Active Directory). He covers assigning licenses and Group Policy, as well as Windows update policies. Robert demonstrates how to use the Intune Admin Center and Microsoft Entra ID. Plus, he introduces several Intune Suite products and highlights how to simplify and improve your Intune workflows with Windows Autopilot and Desktop Analytics.</p>",Course,2025-03-22 01:22 UTC,N/A,false,N/A,
"Build a Lightweight Full-Stack Headless CMS Using Next.js, Contentful, and GraphQL","With the growing popularity and widespread use of headless architecture in web development, it is important for web developers to stay ahead of the industry curve. Headless architecture keeps the frontend lightweight and more optimized. In this course, software engineer and educator Dakota Fabro guides you through building for clients who prefer to use a CMS with their websites so that you can provide solutions that are lightweight and intuitive. Learn to use Next.js, Contentful, and GraphQL to create a site that uses headless architecture. Then complete a final project to help you practice what you’ve learned in the course. By the end of this course, you will be able to build and maintain headless web projects, and you’ll be able to apply the skills and knowledge acquired from this course in your current or aspirational role.",Course,2024-09-08 01:17 UTC,N/A,false,N/A,
Node.js Essential Training,"Node.js is a powerful tool for controlling servers, building web applications, and creating event-driven programs. And it takes JavaScript—a language familiar to all web developers—out of the browser. With Node.js, you can build applications that run on your laptop or even the cloud.
In this course, learn the essentials of Node.js and start creating your own JavaScript applications. Instructor Eve Porcello covers all of the basics, showing how to install Node.js and work with the Node.js core, which includes standard input, standard output, the module system, the file system, and how to write and run JavaScript on the server. Upon wrapping up this course, you’ll be equipped with fundamental Node.js concepts and techniques that you can put to use in your next project.",Course,2024-03-10 06:24 UTC,2024-03-10 06:01 UTC,false,N/A,
ChatGPT's Operator: Automating Everyday Tasks with AI Agents,"Discover ChatGPT's Operator, an AI agent in research preview designed to simulate human interaction with websites for task automation. In this course, you'll explore how businesses and individuals can experiment with its capabilities, consider safety and ethical implications, and plan for integrating AI agents into workflows. Learn to evaluate potential use cases, think critically about their implementation, and prepare for the future of AI-powered automation.",Course,2025-08-10 11:42 UTC,N/A,false,N/A,
DevOps Foundations: Infrastructure as Code,"<p>Infrastructure automation—transitioning an organization's system administration from hardware into code—is one of the major DevOps practice areas. By automating configuration management, you can make your systems more reliable, processes more repeatable, and server provisioning more efficient. In this course, learn the basics of infrastructure as code, including how to keep your configuration in a source code repository and have it built and deployed just like an application.
 </p><p>
Discover how to approach converting your systems over to becoming fully automated—from server configuration to application installation to runtime orchestration. Join notable DevOps practitioners Ernest Mueller and James Wickett as they dive into key concepts, and use a wide variety of tools to illustrate those concepts, including Ansible, Terraform, Docker, Kubernetes, Serverless, and AWS Lambda. Check out this course to gain the knowledge you need to start implementing an infrastructure as code strategy.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/devops-professional-certificate-by-pagerduty-and-linkedin?u=104"" target=""_blank"">Professional Certificate</a> from PagerDuty.</p>",Course,2024-02-23 16:34 UTC,N/A,true,N/A,
What Athletes Can Teach Us About Mental Health,"<p>Strong mental skills are foundational to an athlete's career—regardless of their sport. If you have great physical talent but can't manage your mental game effectively, you won't reach your full potential. And the better you manage your mind, the better you're perceived! In this course, performance psychologist Alex Auerbach, who works with the Toronto Raptors, shares practical wisdom to help athletes navigate their mental challenges and maintain high performance. He discusses how to think about performance and influence it positively. Alex also delves into cultivating presence and routine, connecting to motivation and purpose, understanding your ""why,” and dealing with imposter syndrome and failure. He also reveals strategies to maximize your potential and stay present every day. Finally, he shows how your team and environment can affect your performance.</p><p>
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2024-10-10 21:52 UTC,N/A,false,N/A,
Git Essential Training (2023),"If you’ve ever wondered why someone should use Git or how to use it for version control, this is a great course to get started. Azure MVP and GitHub Star Barbara Forbes guides you through the installation process, the Git workflow, setting up and pushing code into a repo, and committing changes, all with a focus on version control and how Git can help you achieve it. Find out why people use Git. Learn how Git works, locally or through a provider, and how you can get it installed, configured, and running the way you need it to work. Follow the full process of pushing your code with Git, then explore ways to make changes to files. Discover important concepts in Git, like how to ignore files you don’t want to include, how branching can help you with development, what should be in a commit, and how to troubleshoot if you get into trouble. Plus, get current instruction on using GitHub Star and Microsoft MVP.",Course,2024-03-10 06:48 UTC,N/A,true,N/A,
Cloud Native Projects: AWS Serverless,"Developers need to understand how to use serverless functions in cloud environments. In this course, instructor Frank P Moley III explains how to use AWS Lambda as a serverless framework and why developers should understand how to use this tool. Frank introduces you to AWS Lambda and how to interact with Lambda in the AWS console. He talks about how and why serverless exists and operates as a technology selection, including its benefits, downfalls, and use cases. Frank covers how to use Lambda functions with Python, Java, and Go.",Course,2024-06-20 19:56 UTC,N/A,false,N/A,
Java Exception Handling,"As you build any application, you can’t just assume that everything will run as expected. There are so many things that could cause your applications to not function properly or even crash. This course aims to teach developers how to handle such unforeseen scenarios in applications. Join instructor Cecili Reid as she teaches you the different types of exceptions, how to handle exceptions, and how to test an application to ensure it handles exceptions as expected. Cecili uses a sample Spring Boot web app as a case study and walks through practical scenarios where you’d want to use exception handling in that application. She starts with an initial application that doesn’t have exception handling mechanisms, and as she walks through each concept, she shows you how to improve the application by applying the concepts taught in each chapter. Cecili also shares some best practices to follow when handling exceptions in your applications.",Course,2024-06-25 07:59 UTC,N/A,false,N/A,
UX Research Methods: Interviewing,"By taking the time to understand the needs and motivations of your users, you can develop better products that actually resonate with your target audience. In this course, learn the fundamentals of a core UX research method—interviewing—that can help you better understand the needs of your users.<br><br>
Amanda Stockwell explains what UX interviewing is, when UX professionals use interviews, and what kind of information you'll gather. She also takes you through how to prepare for interviews, moderate your sessions, and analyze your data.  After you wrap up this course, you'll be prepared to conduct UX interviews on your own.",Course,2024-06-18 12:31 UTC,N/A,false,N/A,
Practice Exam 1 for AWS Cloud Practitioner (CLF-C02),"<p>This practice exam is intended to help you prepare for the <b>AWS Cloud Practitioner (CLF-C02)</b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>
<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-aws-cloud-practitioner-clf-c02/"" target=""_blank"">Practice Exam 2 for AWS Cloud Practitioner (CLF-C02)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-aws-cloud-practitioner-clf-c02/"" target=""_blank"">Practice Exam 3 for AWS Cloud Practitioner (CLF-C02)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-aws-cloud-practitioner-clf-c02"" target=""_blank"">Practice Exam 4 for AWS Cloud Practitioner (CLF-C02)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://aws.amazon.com/certification/certified-cloud-practitioner/"">Amazon Web Services</b></a>.</p>
<p><I>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</I></p>",Course,2024-01-30 09:43 UTC,N/A,false,N/A,
Microsoft Azure Solutions Architect Expert (AZ-305) Cert Prep: 4 Design Infrastructure Solutions by Microsoft Press,"<p>Begin your preparations for the Microsoft Azure Solutions Architect Expert (AZ-305) Exam with this series of courses. In this final course, go over how to design infrastructure solutions. Explore compute options, such as using basic VMs, creating shared images, and setting up a load balancer. Learn how to use containers in Azure, including how to create a basic container, use Web Apps for containers, and use AKS. Go over application architectures, like setting up a modern API, using Azure Event Grid, and using Azure Service Bus. Learn about migrating to the cloud. Plus, dive into networking in Azure, with useful tips on network security options, connecting networks in Azure, using service endpoints, and more.</p>
 
<p>This course was created by Microsoft Press and Brett Hargreaves. We are pleased to host this training in our library.</p>",Course,2024-10-15 02:47 UTC,N/A,false,N/A,
Microsoft Azure Administrator (AZ-104) Cert Prep: 1 Manage Azure Identities and Governance,"<p>Cloud Skills are becoming an important part of any IT professional's resume. The Microsoft Azure Administrator Associate certification vets your skills and ability to create and manage workloads in the Microsoft Azure cloud. In this course, learn the core concepts and key skills you need to know to tackle the first domain of the Microsoft Azure Administrator (Exam AZ-104) certification exam. Learn how to manage Azure identities and governance like a pro, including user and guest accounts, bulk user updates, devices, passwords, resource hierarchies, role-based access control, and more. Upon completing this course, you’ll be equipped with the skills you need to prepare for the first domain of the exam.</p><p>This course was created by Microsoft Press. We are pleased to host this content in our library.</p>",Course,2024-04-06 00:52 UTC,N/A,false,N/A,
Skills to Build Stronger Work Relationships,"<p>In the world of hybrid work, uncertainty, and constant change, people need healthy work relationships to feel supported and show up as their best selves, This course teaches essential skills to build and maintain more resilient relationships.
Dr. Emily Anhalt teaches essential tools and skills, including: taking ownership of your part, strategies to build empathy, ways to create a more positive and safe working environment, ways to move from reactive to proactive, how to have healthy conflict, getting on the same team, expressing yourself more effectively, and breaking an emotional sweat every day.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/becoming-a-manager-professional-certificate-by-linkedin-learning"" >Professional Certificate</a> from LinkedIn Learning.</p>",Course,2024-08-31 09:01 UTC,N/A,false,N/A,
"Build a Faster, More Structured Express API with Node.js and TypeScript","JavaScript is not going anywhere, but TypeScript is being used more and more in larger, production level projects. Being able to understand and use TypeScript in a backend environment will be useful for those who are interested in upgrading their largest JavaScript projects. In this course, software engineer Dakota Fabro teaches you how to: configure a project for TypeScript; configure a database connection for use with the API; build a seed file for the development process; build an Express server utilizing TypeScript; use Jest to test your API endpoints; host your API as a web service using Render; and write a proper README to explain and describe API routes for frontend developers.",Course,2024-02-27 10:05 UTC,2024-02-27 10:00 UTC,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483198,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2483198,Course,2023-04-10 19:32 UTC,N/A,true,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-06-30 07:23 UTC,N/A,false,N/A,
AI Programming for JavaScript Developers,"<p>AI is becoming more and more of a requirement for JavaScript development projects. You can use AI technologies for UI enhancements, as well as built upon several AIs with JavaScript. As we move toward a world where more AI programming is normalized, the JavaScript ecosystem contains tools to make your work as a developer easier. In this course, software developer and instructor Eve Porcello surveys the options available and shows you how to build chat and text analysis programs that use JavaScript libraries in Node.js.</p>

<p>After taking the course, you will be able to analyze text and build chat applications that have a structured output. You will also learn how to save results to databases that are familiar to many JavaScript developers.</p>

<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-04-14 00:13 UTC,N/A,false,N/A,
Learning Go (2021),"What is Go? Go is a next-generation, open-source programming language created by Google for building systems, web, and other applications. This course is designed to help developers get started with Go, covering its core language elements and syntax. David Gassner introduces tools and skills used in a Go workflow—including Go Playground, an online tool that takes Go development off the desktop. He also covers basic programming tasks: managing values, using math operators, storing values as complex types, and managing program flow. Plus, learn how to create reusable Go code, read and write files, and make simple web requests.

<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-04-23 19:18 UTC,N/A,false,N/A,
Hands-On AI: Build Your Own GPTs,"Discover how to build AI applications without any coding. Using English as your new programming language, explore crafting advanced prompts, creating comprehensive knowledge bases, and personalizing model outputs for specific tasks. Join Alina Zhang, a seasoned data scientist, to create three custom GPTs: KK, Sun Tzu, and Lilis. Dive into innovative techniques, including the Pentagram framework for prompt engineering, chain-of-thought, few-shot learning, user intent detection, and strategies to safeguard against prompt injection attacks.",Course,2024-07-16 09:33 UTC,N/A,false,N/A,
Working with Difficult People,"<p>In every workplace, you're likely to encounter colleagues who are more difficult to work with than others. But before you rush to judgment, you should determine if and how you might be contributing to the situation, and what you can do to help.</p><p>In this course, join psychologist Dr. Emily Anhalt as she shows you how to navigate and communicate with people who you find challenging to deal with at work. Pause and reflect on your role in challenging work situations to uncover how empathy can help you work better with others. Emily shares strategies to respond to a wide variety of particularly challenging work situations, including with people whose behavior is negative, absent, competitive, and passive-aggressive. By the end of this course, you’ll be prepared with new skills and practical strategies to have an effective conversation with someone you find difficult to work with.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2024-07-09 09:03 UTC,N/A,false,N/A,
AWS Certified Database – Specialty (DBS-C01)  Cert Prep: 2 Design and Deployment,"All quality databases begin with a thoughtful design. In this installment of the <i>AWS Certified Database – Specialty (DBS-C01)</i> series, learn how to design and deploy AWS database solutions as you study for exam DBS-C01. Instructor Tom Carpenter covers database design tools and explains how to design a database for performance, scalability, and compliance. Tom then goes over the backup processes and options related to Amazon Relational Database Service (Amazon RDS) and instance-based database solutions in AWS, as well as the high-availability options in AWS. Plus, he steps through the process of creating RDS, DynamoDB, Redshift, and instance-based databases.<br><br>This Total Seminars course covers the exam certification topics. For information on additional study resources—including practice tests, lab simulations, books, and discounted exam vouchers—visit <a href=""https://www.totalsem.com/linkedin/"" target=""_blank"">totalsem.com/linkedin</a>. LinkedIn Learning members receive special pricing.<br><br>This course was created by Total Seminars. We are pleased to offer this training in our library.",Course,2023-04-09 23:56 UTC,N/A,false,N/A,
Creating a Dev Environment in AWS with Terraform,"If you work in Azure development, this course from CloudSkills.io can show you some best practices for setting up a development environment in AWS. Instructor Philip Afable introduces you to Terraform and shows you how to download and start using it. Philip covers the Lambda function, including how to set it up, write it, troubleshoot it, and update it. He explains how to create a Simple Queue Service (SQS) queue and link this new queue to your Lambda function. Philip concludes with how you can use WorkSpaces and manage regions in your development and production environments.
<br><br>
Note: This course was created by CloudSkills.io. We are pleased to host this training in our library.",Course,N/A,N/A,true,N/A,
Photoshop One-on-One: Mastery,"Discover how to be the best Photoshop user you know with reigning expert Deke McClelland. In this final installment of his comprehensive three-part <i>One-on-One</i> series, Deke explains how Photoshop works at its highest level. Get around Photoshop more quickly by loading dozens of new and revised keyboard shortcuts. Experience the power of Smart Filters, dynamic effects, and such seemingly mundane (but secretly awesome) topics as blur and noise. Discover how to mask images with the Calculations command, and manipulate paths with the Pen tool. Learn how to assemble 360° panoramas and work with such exotic features as layer comps, artboards, and actions. Leave each chapter with a sense of real accomplishment that you can apply to your own marketable, eye-popping artwork.",Course,2024-04-08 19:26 UTC,N/A,false,N/A,
Implementing and Administering Microsoft Sentinel,">Microsoft Sentinel is a next-generation, cloud-native security event and information management (SEIM) system that provides real-time analysis of security alerts generated for your cloud and on-premises resources. By leveraging built-in machine learning from the security analytics experts at Microsoft, Sentinel effectively detects threats while automating threat response using orchestration and built-in or custom security playbooks. In this course, join Pete Zerger as he guides you through the implementation and configuration of Microsoft Sentinel. Discover how to connect key services and threat intelligence resources to Sentinel; investigate cases; create security playbooks to set automated threat responses to issues; and leverage search and query tools to hunt for threats.</p>",Course,2024-01-09 04:55 UTC,N/A,false,N/A,
Learning JDBC (2019),"Whether developers want to build mobile device apps for Android or web-based or desktop-based applications with the core Java SDK from Oracle, they must contend with the fact that many dynamic applications need to integrate data from a relational database. In this course, Frank Moley helps you get up to speed with the Java Database Connectivity (JDBC) API, showing how to use it to read and manage data from relational databases such as Postgres, Oracle Database, MySQL, and SQL Server in applications programmed with Java. Frank begins by going over key JDBC terminology, the basics of configuring a PostgreSQL database, and how to create the course project. He then provides detailed instructions on how to select and update data, work with transactions, handle exceptions, and more.",Course,2023-04-29 21:36 UTC,N/A,false,N/A,
Nano Tips for Effortless Influence with Shadé Zahrai,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shows you how to exude effortless influence. She starts with outlining the basics of influence, followed by sharing key influence tactics—leveraging social proof, offering choices, and influencing with emotional intelligence. Shadé then takes it up a level with some pro-level influence techniques, explaining how to influence those with greater authority and how to sway skeptics.",Course,2024-10-02 08:09 UTC,N/A,false,N/A,
Networking Foundations: Wide Area Networks (WANs),"A wide area network (WAN) spans across large distances or across geographic locations. In this course, IT trainer and technology advocate Jarrel Rivera guides you through this foundational networking topic. Get an introduction to WAN, including terminologies, topologies, and devices. Learn about traditional WAN, such as leased lines, PSTN, ISDN, ATM, Frame-relay, SONET/SDH, and dive into modern WAN like dark fiber, ethernet WAN, MPLS, xDSL, PPPoE, Fiber, wireless, SD-WAN. Plus, explore several topics you need to consider, related to WAN, including redundancy, bandwidth/speed, VPN, router security, firewall.",Course,2024-04-25 11:30 UTC,N/A,false,N/A,
Model Context Protocol (MCP): Hands-On with Agentic AI,"The Model Context Protocol (MCP) allows developers to add agent behavior to LLMs by providing a universal protocol providing context to language models so they can interface with data and applications in a consistent way. MCP servers expose resources (data), tools (actions), and prompts (instructions) for the LLM and the user to use in performing more complex operations. In this course you’ll explore how the MCP works in Claude Desktop to extend its functionality, and you’ll build your own MCP servers using Python and TypeScript to give LLMs new capabilities to do things on the computer, connect with external APIs, and perform advanced multi-step actions.",Course,2025-08-22 08:07 UTC,N/A,false,N/A,
DevOps Foundations: Continuous Delivery/Continuous Integration,"<p>Continuous delivery is one of the major DevOps practice areas. By continuously building, testing, and delivering your code, you can reap huge stability, speed, and flexibility benefits. In this course, learn about continuous integration and continuous delivery (CI/CD), and see how these concepts work in practice by constructing your own build pipeline. Throughout this course, instructors James Wickett and Ernest Mueller discuss elements of the pipeline as they show how to take an app written in the Golang programming language from development to production. They walk through version control, building artifacts, unit testing, and deployment, demonstrating common practices and tools along the way. They conclude with some practical advice on CI/CD best practices and common pitfalls, workarounds, and compromises that you may encounter on your journey to continuous delivery.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/devops-professional-certificate-by-pagerduty-and-linkedin?u=104"" target=""_blank"">Professional Certificate</a> from PagerDuty.</p>",Course,2024-06-23 08:24 UTC,N/A,false,N/A,
Building a Personalized Chatbot with OpenAI and LangChain,"<p>Are you a Python programmer looking to expand your skill set with AI, machine learning, and APIs? In this course, instructor Dhhyey Desai shows you how to use LangChain and OpenAI to build a fully personalized chatbot that’s trained on your data through a PDF file.</p><p>Learn the fundamentals of setting up and preparing data, including the development environment, PDF, and website data. Along the way, Dhhyey provides an overview of what it takes to successfully build a chatbot, from integrating OpenAI for responses to building the LangChain architecture and using Flask for chatbot deployment.</p>",Course,2024-06-27 04:02 UTC,N/A,false,N/A,
Learning Terraform,"Terraform is a DevOps tool for declarative infrastructure—infrastructure as code. It simplifies and accelerates the configuration of cloud-based environments. In this course, instructor Josh Samuelson shows how to use Terraform to configure infrastructure and manage resources with Amazon Web Services (AWS). After demonstrating how to set up AWS for Terraform, Josh covers how Terraform manages your infrastructure, as well as how to use core Terraform commands. He also delves into more advanced topics, including how to leverage code modules from the Terraform registry and how to create your own modules. Upon wrapping up this course, you'll have the knowledge you need to efficiently define and manage infrastructure with this powerful tool.",Course,2024-02-04 09:43 UTC,2024-02-04 09:35 UTC,true,N/A,
Microsoft Azure Fundamentals (AZ-900) Cert Prep: 3 Azure Services,"<p>The Microsoft Azure Fundamentals certification exam is for anyone who wants to begin their professional journey in cloud computing. To pass the AZ-900 exam, you need to have a high-level knowledge of the cloud, Azure architecture, core security, basic services, management tools, and governance. This third course in the AZ-900 cert prep series covers the most essential Azure services and how they work together in real-world applications. Your instructor Kunal D Mehta helps you gain a comprehensive understanding of Azure compute, networking, and storage services like virtual machines, App Service, Container Instances, Functions, Virtual Networks, ExpressRoute, Azure DNS, storage accounts, and data management tools.</p>

<p>This course was created by Kunal Mehta. We are pleased to host this training in our library.</p>",Course,2024-07-09 19:59 UTC,N/A,false,N/A,
